Id,SalePrice
1461,121832.97
1462,157533.27
1463,188164.88
1464,194416.34
1465,190368.2
1466,171871.36
1467,175818.34
1468,168513.62
1469,182788.67
1470,127481.9
1471,200338.69
1472,93449.65
1473,96370.64
1474,153550.95
1475,118349.734
1476,382496.22
1477,255419.03
1478,277609.0
1479,271371.2
1480,472976.1
1481,337214.53
1482,206798.08
1483,170891.2
1484,164006.11
1485,179451.3
1486,195816.58
1487,344299.3
1488,238408.2
1489,194642.86
1490,217828.2
1491,191114.56
1492,91043.016
1493,179605.39
1494,295115.0
1495,297150.38
1496,228342.08
1497,186141.97
1498,160691.36
1499,158034.5
1500,149549.6
1501,174328.7
1502,152375.77
1503,312417.53
1504,241751.39
1505,220790.34
1506,197102.6
1507,249536.28
1508,205125.38
1509,162830.1
1510,145380.64
1511,143187.89
1512,179784.64
1513,140557.98
1514,159151.45
1515,185866.67
1516,150815.55
1517,158719.31
1518,140889.2
1519,224263.44
1520,135586.83
1521,133644.73
1522,168347.55
1523,111901.766
1524,123544.97
1525,119344.07
1526,120206.82
1527,106817.75
1528,132146.58
1529,148430.23
1530,167272.11
1531,111426.39
1532,103105.75
1533,143273.81
1534,121110.8
1535,147729.36
1536,109379.85
1537,67715.13
1538,155740.72
1539,182801.92
1540,98020.445
1541,139603.08
1542,139929.25
1543,222407.45
1544,76725.23
1545,110607.88
1546,131903.81
1547,133992.38
1548,134645.28
1549,108945.0
1550,136395.2
1551,114189.39
1552,130686.76
1553,144094.73
1554,111743.195
1555,164524.95
1556,82047.914
1557,104008.41
1558,88609.086
1559,77605.29
1560,137158.4
1561,134932.7
1562,129750.03
1563,120625.98
1564,158634.88
1565,139470.55
1566,240364.47
1567,74022.95
1568,215194.36
1569,148820.02
1570,138724.5
1571,118735.234
1572,152850.97
1573,250794.28
1574,115444.664
1575,215908.28
1576,232200.88
1577,190164.98
1578,136069.36
1579,146533.45
1580,200625.1
1581,151456.08
1582,128930.016
1583,337348.03
1584,225520.67
1585,141994.75
1586,74683.54
1587,98160.3
1588,146166.53
1589,99097.31
1590,135840.52
1591,97688.97
1592,116476.78
1593,129846.46
1594,132974.88
1595,112040.164
1596,237985.22
1597,176901.14
1598,201699.8
1599,172042.23
1600,169536.73
1601,67956.375
1602,115759.086
1603,83774.914
1604,262609.4
1605,247195.17
1606,168796.55
1607,170027.66
1608,211143.44
1609,187542.69
1610,153111.53
1611,140229.97
1612,166091.98
1613,163713.11
1614,127322.125
1615,86550.27
1616,74639.53
1617,91435.62
1618,124575.82
1619,137032.75
1620,164077.45
1621,129942.836
1622,144731.3
1623,266438.8
1624,211810.2
1625,124083.99
1626,165833.2
1627,190308.12
1628,273695.53
1629,176825.25
1630,342820.3
1631,225641.58
1632,242769.58
1633,168863.05
1634,191638.92
1635,174837.86
1636,151765.06
1637,188431.73
1638,193880.14
1639,183958.1
1640,268966.78
1641,174030.55
1642,226474.6
1643,227892.84
1644,237664.75
1645,200173.48
1646,156145.1
1647,159452.11
1648,134396.27
1649,139350.1
1650,116429.36
1651,122216.19
1652,99481.56
1653,99006.914
1654,147427.19
1655,155324.67
1656,147516.48
1657,147939.84
1658,149498.55
1659,128296.74
1660,150924.47
1661,458119.97
1662,421248.12
1663,398519.47
1664,451149.53
1665,297665.16
1666,312596.66
